Repo Name,File Name,File Type,Release Version,TLSH Hash,Commit_Distance,SHA256 Hash,Imphash,Date Added,Intel
mitchmoser/SharpShares,SharpShares.exe,N/A,v1.0,T1C452E705B3E89721F1BF4F78A9B366640735B666A439D64D1DC4224E1E337808633BBA,0,2e93e83a8c1671dec1b0b4a9873025f47567a1092e12bcfe14d1f78e5696aaeb,f34d5f2d4577ed6d9ceec516c1f5a744,2020-09-25T22:44:14Z,https://github.com/mitchmoser/SharpShares
mitchmoser/SharpShares,SharpShares.exe,N/A,v1.1,T13B82A645A3EC8201F1BF4F74BAB756504B33BA62AC75D74D0888268E4B33B458962B77,0,214adf5acd24740909da1a8ee95d629da354cbe23bc2b56d7edf610c84bd6a1d,f34d5f2d4577ed6d9ceec516c1f5a744,2020-09-30T01:03:36Z,https://github.com/mitchmoser/SharpShares
mitchmoser/SharpShares,SharpShares.exe,N/A,v1.2,T1E282B841B3EC8214F1BF1F74AE731A140A37B666AC79DB0D0998168E4B73F458922B77,0,e1792577b8a2878c0ee0e02c94c3113ed483e99e4d20d716f1c4c7589076f06b,f34d5f2d4577ed6d9ceec516c1f5a744,2020-12-09T02:03:45Z,https://github.com/mitchmoser/SharpShares
mitchmoser/SharpShares,SharpShares.exe,N/A,v1.3,T1F982C841B3FC8614F1BF1F74AEB346540A37BA659D39DB0D0888268E4B73B458A21B77,0,12c9cf22a8a7c652c7ea63dbbdf7ffac3052ca6b49828d03261cc258d95afeef,f34d5f2d4577ed6d9ceec516c1f5a744,2020-12-09T17:25:32Z,https://github.com/mitchmoser/SharpShares
mitchmoser/SharpShares,SharpShares.exe,N/A,v2.0,T17292A841B3E88205F2FF1F75A97306515B33BA26AC78DB4D1988218E4F33B558922B73,0,e53c37e94cfa66023839a9db008e7953f524db0dd6b5f1a467f1a55827aa63df,f34d5f2d4577ed6d9ceec516c1f5a744,2021-03-05T16:45:35Z,https://github.com/mitchmoser/SharpShares
mitchmoser/SharpShares,SharpShares.exe,N/A,v2.1,T14192B841B3E88205F2FF1F75AD7705505B33BA26AC78DB4D1988618E4A33B458922F77,0,9404a903396f378796bc906ecab923f471cd6228c646cd13afe55948c414a4b2,f34d5f2d4577ed6d9ceec516c1f5a744,2021-03-09T23:22:56Z,https://github.com/mitchmoser/SharpShares
mitchmoser/SharpShares,SharpShares.exe,N/A,v2.2,T1F4A29441A7FC4221F1FF1F74AAB616500733BA62A839DB4C09D9228E4B73B598521F77,0,56a4d640936bc70b69883f930565e6abb43377e498836da5e8eba7d5f4f7acf9,f34d5f2d4577ed6d9ceec516c1f5a744,2021-05-03T23:57:27Z,https://github.com/mitchmoser/SharpShares
mitchmoser/SharpShares,SharpShares.exe,N/A,v2.3,T103A2A441A3FC4210F1FF1F75A9B216500733BA62A939DB0D09C9228E4B73F598961B7B,0,e11e7db705a11f8ca250d8d6826371e550b3214757f5bb9b648c7b0fad09294b,f34d5f2d4577ed6d9ceec516c1f5a744,2021-05-16T19:39:58Z,https://github.com/mitchmoser/SharpShares
mitchmoser/SharpShares,SharpShares.exe,N/A,v2.4,T1D5B29345A7FC4210F2FF1F756AB215500B33BA62AD34DB0D09C9268E4A73F458961B77,0,bbdd3620a67aedec4b9a68b2c9cc880b6631215e129816aea19902a6f4bc6f41,f34d5f2d4577ed6d9ceec516c1f5a744,2021-08-23T18:43:58Z,https://github.com/mitchmoser/SharpShares
