Repo Name,File Name,File Type,Release Version,TLSH Hash,Commit_Distance,Lines Changed,SHA256 Hash,Imphash,Date Added,Intel
TwoSevenOneT/EDR-Freeze,EDR-Freeze_1.0.exe,PE32+ executable (console) x86-64; for MS Windows; 6 sections,main,T1F1546D19F6A510F9E9A7863CC9424906EB72BC570761D7CF03A04A973F27AE09E3E711,0,N/A,970c7834e58b6ef22473875167a333dbb33bf7b667d1cb814829f68579cd85f7,,2025-09-21T01:57:11Z,https://github.com/TwoSevenOneT/EDR-Freeze
TwoSevenOneT/EDR-Freeze,EDRFreeze-gnu.exe,PE32+ executable (console) x86-64 (stripped to external PDB); for MS Windows; 9 sections,v1.0-d41376c,T108252A4BE2A344E8C52FC1748B739772BA30B46946347D6E5E94D7322E20E509F6FB24,0,120,874e71b3cfb9826950f2c747fbb81e3e94f7b2766ae9d7c75a0daa72943737bc,,2025-10-11T01:30:50Z,https://github.com/TwoSevenOneT/EDR-Freeze
TwoSevenOneT/EDR-Freeze,EDRFreeze-msvc.exe,PE32+ executable (console) x86-64; for MS Windows; 6 sections,v1.0-d41376c,T1FD646C19F3A910F9E967853CC9524906EB72BC564760E7CF03A04A973F276E09E3E711,0,120,e49584514c6f4b269e10be66873d1b96632ad1f2e0053afb097584a45f305a44,,2025-10-11T01:30:50Z,https://github.com/TwoSevenOneT/EDR-Freeze
