Repo Name,File Name,File Type,Release Version,TLSH Hash,Commit_Distance,Lines Changed,SHA256 Hash,Imphash,Date Added,Intel
trustedsec/trevorc2,agents/trevorc2_client.cs,Unicode text; UTF-8 (with BOM) text; with CRLF line terminators,git:ea13549,T1CD127662BF188A482F72115EEB3A8180FF6112272594DBA0F7DDA5244F7544883FDFE9,0,N/A,0c45dbe6bd6a26c0909f9e0a8755099c936f9dd7d3b33dc66704a5b91edc51e8,N/A,2020-02-22T22:55:05Z,https://github.com/trustedsec/trevorc2
trustedsec/trevorc2,agents/trevorc2_client.py,Python script; ASCII text executable,git:1b60555,T12BF1E953E60035E4C787811448A2DA257326BA27724314B47FBCB2A42F94DB9C677EF9,0,N/A,55d7e5d3af00d00981a503f113f5189773bb891299927f84c20cc95e36344701,N/A,2020-04-30T02:05:32Z,https://github.com/trustedsec/trevorc2
trustedsec/trevorc2,agents/trevorc2_client.py,Python script; ASCII text executable,git:29706d8,T1B3C11A5267506998CBC3816804E3A4416326B627F60268747DFCA3547FA8DB8C27BFFD,120,524,73bd150ae12313750dddfcafa40d1c2c16e4e50f796ad086322c0e045627d6fe,N/A,2021-05-22T22:25:26Z,https://github.com/trustedsec/trevorc2
