Repo Name,File Name,File Type,Release Version,TLSH Hash,Commit_Distance,SHA256 Hash,Imphash,Date Added,Intel
bhdresh/lazykatz,Lazykatz.3.0.exe,"PE32 executable (GUI) Intel 80386, for MS Windows, 5 sections",v3.0,T131A5F112A3DDC370CB669173BF69B7016EBF78614630F86B2F880D7DA860161266D763,0,59c9aad35076fc438d1b4c9897210f087ce8a2c3efdb8daa01dbef4aeea52df6,649f6ed9a4d576c154bbc0357156a4a4,2017-03-16T07:43:51Z,https://github.com/bhdresh/lazykatz
bhdresh/lazykatz,Lazykatz.exe,"PE32 executable (GUI) Intel 80386, for MS Windows, 5 sections",v1.0,T14D95F02273DDC360CB769173BF29B7016EBB78654630F8672F880D7DA950162262D7A3,9,cf75597a9bd0129f383f325114ae54e2c8d0b468b6965349c8b45299b9dded91,649f6ed9a4d576c154bbc0357156a4a4,2016-12-29T09:29:42Z,https://github.com/bhdresh/lazykatz
bhdresh/lazykatz,Lazykatz.exe,"PE32 executable (GUI) Intel 80386, for MS Windows, 5 sections",v2.0,T1BEA5F12273DDC360CB765173BF29B7016EBF78650630B9672F880D7DA960162262D7A3,17,12552589f4d2de66d90924a0a89b62ebd73d63c36d2da715d38107a4583b6b17,649f6ed9a4d576c154bbc0357156a4a4,2017-01-31T05:00:55Z,https://github.com/bhdresh/lazykatz
bhdresh/lazykatz,Lazykatz.exe,"PE32 executable (GUI) Intel 80386, for MS Windows, 5 sections",v3.0-beta.1.0,T1F1A5F11263DDC370CB669173BF6AB7016EBF78610630F86B2F881D7DA860161266D763,11,a26f55a68d63271f3fccf270b296fa6afb5fe27a3adc83fbd60bca52312160b2,649f6ed9a4d576c154bbc0357156a4a4,2017-03-13T09:34:45Z,https://github.com/bhdresh/lazykatz
bhdresh/lazykatz,Lazykatz.exe,"PE32 executable (GUI) Intel 80386, for MS Windows, 5 sections",v4.0,T13EA5F122A3DDC370CB769173BF69B7406EBF78610630B85B2F881D7DA860162166D763,0,815fa52de4b262b06bdfa0e856c2a44506007559dae169f6acd362aa753a25a2,649f6ed9a4d576c154bbc0357156a4a4,2017-10-30T07:22:08Z,https://github.com/bhdresh/lazykatz
